"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"Chiasso-Rho","45.606069","9.235468","10",""
"Chiasso-Rho","45.577974","9.272921","11",""
"Chiasso-Rho","45.54131","9.238933","12",""
"Chiasso-Rho","45.512914","9.214186","13",""
"Chiasso-Rho","45.484597","9.187596","14",""
"Chiasso-Rho","45.502019","9.15093","15",""
"Chiasso-Rho","45.506768","9.136441","16",""
"Chiasso-Rho","45.521173","9.088161","17",""
"Chiasso-Rho","45.52413","9.043471","18",""
"Como San Giovanni-Rho","45.809099","9.072701","2",""
"Como San Giovanni-Rho","45.776872","9.073108","3",""
"Como San Giovanni-Rho","45.740867","9.08211","4",""
"Como San Giovanni-Rho","45.716224","9.099464","5",""
"Como San Giovanni-Rho","45.697212","9.107328","6",""
"Como San Giovanni-Rho","45.668437","9.133499","7",""
"Como San Giovanni-Rho","45.646111","9.203005","8",""
"Como San Giovanni-Rho","45.620132","9.218321","9",""
"Como San Giovanni-Rho","45.606069","9.235468","10",""
"Como San Giovanni-Rho","45.577974","9.272921","11",""
"Como San Giovanni-Rho","45.54131","9.238933","12",""
"Como San Giovanni-Rho","45.512914","9.214186","13",""
"Como San Giovanni-Rho","45.484597","9.187596","14",""
"Como San Giovanni-Rho","45.502019","9.15093","15",""
"Como San Giovanni-Rho","45.506768","9.136441","16",""
"Como San Giovanni-Rho","45.521173","9.088161","17",""
"Como San Giovanni-Rho","45.52413","9.043471","18",""
"Gallarate-Pioltello","45.659638","8.798311","6",""
"Gallarate-Pioltello","45.616122","8.864852","7",""
"Gallarate-Pioltello","45.593707","8.910805","8",""
"Gallarate-Pioltello","45.569324","8.926713","9",""
"Gallarate-Pioltello","45.552763","8.946363","10",""
"Gallarate-Pioltello","45.52541","8.995719","11",""
"Gallarate-Pioltello","45.52413","9.043471","12",""
"Gallarate-Pioltello","45.521173","9.088161","13",""
"Gallarate-Pioltello","45.506768","9.136441","14",""
"Gallarate-Pioltello","45.502019","9.15093","15",""
"Gallarate-Pioltello","45.494969","9.176191","16",""
"Gallarate-Pioltello","45.484597","9.187596","17",""
"Gallarate-Pioltello","45.47882","9.197123","18",""
"Gallarate-Pioltello","45.475495","9.206114","19",""
"Gallarate-Pioltello","45.467844","9.217368","20",""
