"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_0_13","10:47:00","10:47:00","S01648","14","","0","0",""
"1_0_13","10:49:00","10:49:00","S01649","15","","0","0",""
"1_0_13","10:52:00","10:52:00","S01650","16","","0","0",""
"1_0_13","10:56:00","10:56:00","S01633","17","","0","0",""
"1_0_13","11:05:00","11:05:00","S01820","18","","0","0",""
"1_0_13","11:10:00","11:10:00","S01624","19","","0","0",""
"1_0_13","11:13:00","11:13:00","S01830","20","","0","0",""
"1_0_13","11:16:00","11:16:00","S01821","21","","0","0",""
"1_0_13","11:20:00","11:20:00","S01822","22","","0","0",""
"1_0_13","11:25:00","11:25:00","S01823","23","","0","0",""
"1_0_13","11:31:00","11:31:00","S01824","24","","0","0",""
"1_0_13","11:37:00","11:37:00","S01825","25","","0","0",""
"1_0_14","10:38:00","10:38:00","S01933","1","","0","0",""
"1_0_14","10:41:00","10:41:00","S01077","2","","0","0",""
"1_0_14","10:44:00","10:44:00","S01076","3","","0","0",""
"1_0_14","10:45:00","10:45:00","S01075","4","","0","0",""
"1_0_14","10:48:00","10:48:00","S01074","5","","0","0",""
"1_0_14","10:52:00","10:52:00","S01072","7","","0","0",""
"1_0_14","10:55:00","10:55:00","S01071","8","","0","0",""
"1_0_14","10:58:00","10:58:00","S01070","9","","0","0",""
"1_0_14","11:01:00","11:01:00","S01069","10","","0","0",""
"1_0_14","11:06:00","11:06:00","S01642","11","","0","0",""
"1_0_14","11:12:00","11:12:00","S01643","12","","0","0",""
"1_0_14","11:15:00","11:15:00","S01645","13","","0","0",""
"1_0_14","11:17:00","11:17:00","S01648","14","","0","0",""
"1_0_14","11:19:00","11:19:00","S01649","15","","0","0",""
"1_0_14","11:22:00","11:22:00","S01650","16","","0","0",""
"1_0_14","11:26:00","11:26:00","S01633","17","","0","0",""
"1_0_14","11:35:00","11:35:00","S01820","18","","0","0",""
"1_0_15","10:38:00","10:38:00","S01933","1","","0","0",""
"1_0_15","10:41:00","10:41:00","S01077","2","","0","0",""
"1_0_15","10:44:00","10:44:00","S01076","3","","0","0",""
"1_0_15","10:45:00","10:45:00","S01075","4","","0","0",""
"1_0_15","10:48:00","10:48:00","S01074","5","","0","0",""
"1_0_15","10:52:00","10:52:00","S01072","7","","0","0",""
"1_0_15","10:55:00","10:55:00","S01071","8","","0","0",""
"1_0_15","10:58:00","10:58:00","S01070","9","","0","0",""
"1_0_15","11:01:00","11:01:00","S01069","10","","0","0",""
"1_0_15","11:06:00","11:06:00","S01642","11","","0","0",""
"1_0_15","11:12:00","11:12:00","S01643","12","","0","0",""
"1_0_15","11:15:00","11:15:00","S01645","13","","0","0",""
"1_0_15","11:17:00","11:17:00","S01648","14","","0","0",""
"1_0_15","11:19:00","11:19:00","S01649","15","","0","0",""
"1_0_15","11:22:00","11:22:00","S01650","16","","0","0",""
"1_0_15","11:26:00","11:26:00","S01633","17","","0","0",""
"1_0_15","11:35:00","11:35:00","S01820","18","","0","0",""
"1_0_15","11:40:00","11:40:00","S01624","19","","0","0",""
"1_0_15","11:43:00","11:43:00","S01830","20","","0","0",""
"1_0_15","11:46:00","11:46:00","S01821","21","","0","0",""
"1_0_15","11:50:00","11:50:00","S01822","22","","0","0",""
"1_0_15","11:55:00","11:55:00","S01823","23","","0","0",""
"1_0_15","12:01:00","12:01:00","S01824","24","","0","0",""
"1_0_15","12:07:00","12:07:00","S01825","25","","0","0",""
"1_0_16","11:08:00","11:08:00","S01933","1","","0","0",""
"1_0_16","11:11:00","11:11:00","S01077","2","","0","0",""
"1_0_16","11:14:00","11:14:00","S01076","3","","0","0",""
"1_0_16","11:15:00","11:15:00","S01075","4","","0","0",""
"1_0_16","11:18:00","11:18:00","S01074","5","","0","0",""
"1_0_16","11:22:00","11:22:00","S01072","7","","0","0",""
"1_0_16","11:25:00","11:25:00","S01071","8","","0","0",""
"1_0_16","11:28:00","11:28:00","S01070","9","","0","0",""
"1_0_16","11:31:00","11:31:00","S01069","10","","0","0",""
"1_0_16","11:36:00","11:36:00","S01642","11","","0","0",""
"1_0_16","11:42:00","11:42:00","S01643","12","","0","0",""
"1_0_16","11:45:00","11:45:00","S01645","13","","0","0",""
"1_0_16","11:47:00","11:47:00","S01648","14","","0","0",""
"1_0_16","11:49:00","11:49:00","S01649","15","","0","0",""
"1_0_16","11:52:00","11:52:00","S01650","16","","0","0",""
"1_0_16","11:56:00","11:56:00","S01633","17","","0","0",""
"1_0_16","12:05:00","12:05:00","S01820","18","","0","0",""
"1_0_16","12:10:00","12:10:00","S01624","19","","0","0",""
"1_0_16","12:13:00","12:13:00","S01830","20","","0","0",""
"1_0_16","12:16:00","12:16:00","S01821","21","","0","0",""
"1_0_16","12:20:00","12:20:00","S01822","22","","0","0",""
"1_0_16","12:25:00","12:25:00","S01823","23","","0","0",""
"1_0_16","12:31:00","12:31:00","S01824","24","","0","0",""
"1_0_16","12:37:00","12:37:00","S01825","25","","0","0",""
"1_0_17","11:38:00","11:38:00","S01933","1","","0","0",""
"1_0_17","11:41:00","11:41:00","S01077","2","","0","0",""
